airport,departure_count,arrival_count,total_traffic
ATL,3903244,3903288,7806532
ORD,3001285,3001372,6002657
DFW,2546075,2546050,5092125
DEN,2300550,2300456,4601006
LAX,2133445,2133646,4267091
PHX,1720614,1720588,3441202
IAH,1672053,1672279,3344332
SFO,1612933,1613144,3226077
LAS,1472436,1472477,2944913
CLT,1334522,1334543,2669065
DTW,1290013,1289913,2579926
MSP,1258951,1258945,2517896
MCO,1227400,1227407,2454807
EWR,1182327,1183025,2365352
BOS,1171494,1171442,2342936
SLC,1146480,1146664,2293144
SEA,1142246,1142209,2284455
LGA,1080902,1080851,2161753
JFK,1058511,1058435,2116946
BWI,1003452,1003428,2006880
MDW,870692,870661,1741353
PHL,835271,835217,1670488
DCA,814016,814017,1628033
SAN,797453,797333,1594786
MIA,753511,753516,1507027
